# MONTHLY_REPORT,csn_monthly_2026-07.csv
# MARKET,vtech,75282B4C
item,total_sold_qty,total_bought_qty,net_coins,times_sold,times_bought
# RUN,2026-07-23T10:14:39.881698500Z
Potion#1ib,78,0,25173.33,19,0
Potion#1ia,208,112,24231,27,1
Potion#JX,185,0,17961,4,0
Potion#Bw,154,0,16384,7,0
Potion#1Ow,93,0,9834,10,0
Splash Potion,75,0,8510,8,0
Potion#1Uu,81,0,7962,14,0
Potion#j,57,0,5727,5,0
Potion#1id,54,0,5184,3,0
Potion#1hN,42,0,4070,18,0
Potion#efk,8,0,1520,1,0
Potion#pN,15,0,1395,1,0
Potion,13,0,1222,2,0
Potion#1hS,5,0,720,2,0
Potion#KH,5,0,580,1,0
Potion#cMB,3,0,303,1,0
Potion#aJp,3,0,303,1,0
Potion#1iY,2,0,220,1,0
Turtle Egg,4,0,40,1,0
Honey Block,1405,6105,0,1,11
Honeycomb Block,0,57099,0,0,24
