# STOCK_REPORT,csn_stock_MERGED.csv
# MARKET,amazonia,GC5GGLKUGY
owner,item,stock,buy_qty,buy_price,sell_qty,sell_price,lore,timestamp_iso
Jacob1304,Acacia Leaves,714,64,185,64,180,,2026-07-03T13:32:36.582453+00:00
Jacob1304,Acacia Log,3456,64,250,64,245,,2026-07-03T13:32:36.584045+00:00
Jacob1304,Acacia Sapling,475,64,300,64,280,,2026-07-03T13:32:36.682430+00:00
Jacob1304,Amethyst Block,3456,64,260,64,250,,2026-07-03T13:32:36.626859+00:00
Jacob1304,Amethyst Cluster,3292,64,160,64,150,,2026-07-03T13:32:36.635497+00:00
Jacob1304,Ancient Debris,43,64,1750,64,1650,,2026-07-03T13:32:36.588269+00:00
Jacob1304,Andesite,3456,64,162,64,145,,2026-07-03T13:32:36.630810+00:00
Jacob1304,Apple,1497,64,1408,64,1344,,2026-07-03T13:32:36.692371+00:00
Jacob1304,Azalea,983,64,151,64,100,,2026-07-03T13:32:36.680124+00:00
Jacob1304,Azalea Leaves,0,64,150,64,145,,2026-07-03T13:32:36.578059+00:00
Jacob1304,Baked Potato,3456,64,64,64,60,,2026-07-03T13:32:36.690852+00:00
Jacob1304,Bamboo,3456,64,110,64,100,,2026-07-03T13:32:36.684255+00:00
Jacob1304,Basalt,3456,64,200,64,175,,2026-07-03T13:32:36.628284+00:00
Jacob1304,Beacon,13,64,30000,64,27000,,2026-07-03T13:32:36.586858+00:00
Jacob1304,Beetroot,1929,64,110,64,100,,2026-07-03T13:32:36.686137+00:00
Jacob1304,Big Dripleaf,0,64,96,64,40,,2026-07-03T13:32:36.678245+00:00
Jacob1304,Birch Leaves,0,64,250,64,200,,2026-07-03T13:32:36.572616+00:00
Jacob1304,Birch Log,2486,64,220,64,215,,2026-07-03T13:32:36.570676+00:00
Jacob1304,Birch Sapling,465,64,220,64,200,,2026-07-03T13:32:36.681978+00:00
Jacob1304,Black Concrete Powder,407,64,110,64,105,,2026-07-03T13:32:36.666716+00:00
Jacob1304,Black Terracotta,0,64,175,64,170,,2026-07-03T13:32:36.651047+00:00
Jacob1304,Black Wool,3456,64,485,64,450,,2026-07-03T13:32:36.659130+00:00
Jacob1304,Blackstone,3200,64,300,64,285,,2026-07-03T13:32:36.641178+00:00
Jacob1304,Blaze Powder,1728,64,310,64,200,,2026-07-03T13:32:36.594565+00:00
Jacob1304,Blaze Rod,1361,64,580,64,400,,2026-07-03T13:32:36.595364+00:00
Jacob1304,Blue Concrete Powder,2976,64,110,64,105,,2026-07-03T13:32:36.670351+00:00
Jacob1304,Blue Ice,3456,64,2400,64,2000,,2026-07-03T13:32:36.621004+00:00
Jacob1304,Blue Terracotta,0,64,175,64,170,,2026-07-03T13:32:36.655270+00:00
Jacob1304,Blue Wool,3456,64,485,64,450,,2026-07-03T13:32:36.663358+00:00
Jacob1304,Bone Block,3456,64,800,64,400,,2026-07-03T13:32:36.674530+00:00
Jacob1304,Book,1028,64,150,64,140,,2026-07-03T13:32:36.646068+00:00
Jacob1304,Bow,2,64,11750,64,,,2026-07-03T13:32:36.697627+00:00
Jacob1304,Bricks,0,64,400,64,370,,2026-07-03T13:32:36.607144+00:00
Jacob1304,Brown Concrete Powder,3200,64,110,64,105,,2026-07-03T13:32:36.667154+00:00
