# PERIOD,csn_export_2026-05-01.csv
actor,seller,verb,quantity,item,amount_coins,timestamp_iso
MrSoap,Jacob1304,bought,64,Experience Bottle,475,2026-05-30T20:34:58.056Z
MrSoap,Jacob1304,bought,40,Iron Ingot,1100,2026-05-30T20:33:58.074Z
MrSoap,Jacob1304,sold,35,Lapis Block,-287.11,2026-05-30T20:13:58.074Z
Kenemekian,Jacob1304,bought,1216,Dirt,3401,2026-05-30T18:51:58.075Z
Ajhastoes,Jacob1304,bought,192,Sugar Cane,240,2026-05-30T18:45:58.075Z
Ajhastoes,Jacob1304,sold,8,Gunpowder,-720,2026-05-30T18:45:58.076Z
Ajhastoes,Jacob1304,bought,200,Gunpowder,21980,2026-05-30T18:45:58.076Z
Kittsunas,Jacob1304,bought,256,Dirt,716,2026-05-30T18:44:58.076Z
Kittsunas,Jacob1304,sold,64,Coarse Dirt,-100,2026-05-30T18:44:58.076Z
Kittsunas,Jacob1304,bought,192,Coarse Dirt,330,2026-05-30T18:44:58.919Z
Kenemekian,Jacob1304,bought,1920,Dirt,5370,2026-05-30T18:30:58.919Z
Kenemekian,Jacob1304,bought,21,Grass Block,98.44,2026-05-30T18:30:58.920Z
Szelumi,Jacob1304,sold,41,Redstone Block,-784.77,2026-05-30T18:09:58.920Z
Szelumi,Jacob1304,sold,64,Redstone Block,-1225,2026-05-30T18:09:58.920Z
Szelumi,Jacob1304,bought,41,Redstone Block,800.78,2026-05-30T18:09:58.920Z
Szelumi,Jacob1304,bought,64,Redstone Block,1250,2026-05-30T18:09:58.920Z
Szelumi,Jacob1304,bought,256,Spruce Log,680,2026-05-30T18:05:58.920Z
Szelumi,Jacob1304,bought,192,Potato,114,2026-05-30T18:00:58.920Z
Aqua455531,Jacob1304,bought,128,Experience Bottle,950,2026-05-30T17:50:58.921Z
Aqua455531,Jacob1304,bought,6,Emerald,1260,2026-05-30T17:50:59.749Z
Giraffecat77,Jacob1304,sold,8,Netherite Scrap,-7200,2026-05-30T17:40:59.749Z
Giraffecat77,Jacob1304,sold,448,Glass,-1750,2026-05-30T17:22:59.750Z
Ajhastoes,Jacob1304,bought,960,Gunpowder,105504,2026-05-30T17:14:59.750Z
Ajhastoes,Jacob1304,bought,576,Tnt,138240,2026-05-30T17:13:59.750Z
Ajhastoes,Jacob1304,sold,1,Tnt,-200,2026-05-30T17:10:59.750Z
Ajhastoes,Jacob1304,bought,316,Tnt,75840,2026-05-30T17:08:59.750Z
