# MONTHLY_REPORT,csn_monthly_2026-06.csv
# MARKET,amazonia,6C555C2E
item,total_sold_qty,total_bought_qty,net_coins,times_sold,times_bought
# RUN,2026-06-02T04:03:18.537248800Z
Iron Ingot,160,0,4400,3,0
Experience Bottle,578,602,1467.96,4,2
Coal Block,64,0,950,1,0
Ink Sac,50,0,2500,2,0
Baked Potato,320,0,320,2,0
Blaze Powder,50,40,750,3,1
Terracotta,256,1355,-3070.94,2,2
Bricks,192,0,1200,2,0
Egg,112,0,315,2,0
Diamond,70,0,3570,2,0
Spider Eye,0,148,-2442,0,2
White Wool,296,192,893.13,3,1
String,256,112,312.5,1,2
Spruce Log,0,128,-330,0,1
Slime Ball,0,4,-120,0,1
Ender Pearl,0,41,-4920,0,1
Cobweb,0,40,-500,0,1
Quartz Block,256,0,2400,3,0
Cactus,64,64,5,1,1
Cherry Log,64,0,175,1,0
Blaze Rod,10,0,580,1,0
Honeycomb Block,128,0,780,1,0
Dark Oak Log,384,0,1020,1,0
Beacon,1,2,-24000,1,1
Sweet Berries,0,64,-25,0,1
Green Wool,384,64,2460,1,1
Name Tag,1,1,5,1,1
Dirt,0,3456,-9396,0,1
Scaffolding,384,0,600,3,0
Ancient Debris,0,1,-1650,0,1
Sand,64,0,100,1,0
Gunpowder,104,15,10079.6,2,1
Glass,3584,256,15800,3,1
Stone,2229,2020,1338.75,3,2
Andesite,1697,1792,235.54,6,2
Cyan Concrete Powder,432,0,742.5,1,0
Gilded Blackstone,68,0,13600,1,0
Cobblestone,64,64,5,1,1
Smooth Stone,0,64,-150,0,1
Stone Bricks,1280,1372,470.62,2,3
Blackstone,640,640,150,1,1
Tuff,192,256,-30,1,2
Hay Block,11,0,171.88,1,0
Obsidian,64,0,800,1,0
Soul Sand,64,0,249,1,0
Magma Block,128,0,400,2,0
Lapis Block,0,36,-295.31,0,1
Sugar Cane,128,0,160,1,0
Apple,64,0,1408,1,0
Amethyst Cluster,10,0,160,1,0
Gold Ingot,10,0,1020,1,0
Deepslate Bricks,64,0,70,1,0
Brown Concrete Powder,64,0,110,1,0
Purple Concrete Powder,64,0,110,1,0
Blue Concrete Powder,64,0,110,1,0
Red Concrete Powder,64,0,110,1,0
Blue Wool,1152,128,7830,1,1
Yellow Wool,64,0,485,1,0
Light Blue Wool,64,54,105.31,1,1
Cyan Wool,64,54,105.31,1,1
Brown Wool,64,0,485,1,0
Purple Wool,128,0,970,1,0
Black Wool,192,0,1455,1,0
Gray Wool,192,0,1455,1,0
Light Gray Wool,384,0,2910,1,0
Red Wool,646,0,4895.47,2,0
Spore Blossom,3,0,1050,1,0
Big Dripleaf,64,0,96,1,0
Acacia Sapling,64,0,300,1,0
Mangrove Propagule,64,0,450,1,0
Fern,32,0,200,1,0
Azalea,64,0,151,1,0
Flowering Azalea,64,0,320,1,0
Acacia Leaves,64,0,185,1,0
Mycelium,64,0,130,1,0
Deepslate,128,0,130,1,0
Rooted Dirt,128,0,240,1,0
Coarse Dirt,128,0,220,1,0
Amethyst Block,0,19,-74.22,0,1
